epoch,train_loss,train_acc,test_acc,phish_precision,phish_recall,phish_f1,phish_support
10,0.26036127616660476,0.9051827083830906,0.8595988538681948,0.7262180974477959,0.9152046783625731,0.8098318240620958,342
20,0.2540925020978819,0.9047050394076904,0.8672397325692455,0.7434052757793765,0.9064327485380117,0.8168642951251647,342
30,0.2598852638714861,0.9030331979937903,0.8701050620821394,0.7475961538461539,0.9093567251461988,0.820580474934037,342
40,0.25426532124914986,0.9058992118461906,0.8624641833810889,0.7291666666666666,0.9210526315789473,0.813953488372093,342
50,0.26037754165776056,0.9056603773584906,0.8586437440305635,0.7224770642201835,0.9210526315789473,0.8097686375321337,342
